k,regressor,VA,RMSE,r2,file_type,dynamic,feature_sel,selection_method,pearson_treshold,max_features
2,DT,VA(mean),0.13597807553706023,0.4119293184892735,audio,False,True,backward,0.0,0
8,SVRpoly,VA(mean),0.13618523448974557,0.3872368640711722,eda,False,True,backward,0.0,0
6,DT,VA(mean),0.13684970396720925,0.8037389749393805,eda,False,False,none,0.0,0
16,kNN,VA(mean),0.13815690156419833,0.476123368718741,fusion,False,True,embedded,0.0,0
7,kNN,VA(mean),0.13953559274615498,0.23224951540217123,eda,False,True,Pearson,0.05,0
13,DT,VA(mean),0.14292901264689745,0.49737248109199683,fusion,False,True,Pearson,0.1,0
4,RF,VA(std),0.14301864984821014,0.3022418664928278,audio,False,True,embedded,0.0,0
5,RF,VA(mean),0.14316731171993619,0.7608085924997929,audio,False,True,RreliefF,0.0,10
2,kNN,VA(mean),0.14347755422004208,0.336020332608398,audio,False,True,backward,0.0,0
9,kNN,VA(mean),0.1441647510137523,0.17672186729866274,eda,False,True,RFE,0.0,0
1,DT,VA(mean),0.14438176200570155,0.513644837390458,audio,False,True,Pearson,0.1,0
4,kNN,VA(mean),0.14552333443333412,0.41560435500424486,audio,False,True,embedded,0.0,0
1,kNN,VA(mean),0.14592534478072744,0.4877736303563397,audio,False,True,Pearson,0.1,0
6,SVRrbf,VA(mean),0.14627589082407683,0.7780611953756181,eda,False,False,none,0.0,0
16,SVRpoly,VA(std),0.14655070358934225,0.5710505278600804,fusion,False,True,embedded,0.0,0
15,DT,VA(mean),0.1468191462368417,0.49511873502491477,fusion,False,True,RFE,0.0,0
14,Lasso,VA(mean),0.1474958976367157,-0.055689663172753326,fusion,False,True,backward,0.0,0
14,ElasticNet,VA(mean),0.1474958976367157,-0.055689663172753326,fusion,False,True,backward,0.0,0
3,Lasso,VA(mean),0.1474958976367157,-0.055689663172753326,audio,False,True,RFE,0.0,0
3,ElasticNet,VA(mean),0.1474958976367157,-0.055689663172753326,audio,False,True,RFE,0.0,0
3,ElasticNet,VA(std),0.14832635843876843,-0.041102416164658415,audio,False,True,RFE,0.0,0
3,Lasso,VA(std),0.14832635843876843,-0.041102416164658415,audio,False,True,RFE,0.0,0
11,RF,VA(mean),0.14948636781374994,0.4052708843469596,eda,False,True,RreliefF,0.0,10
7,RF,VA(mean),0.15267256010123081,0.08968116214533871,eda,False,True,Pearson,0.05,0
0,SVRrbf,VA(mean),0.15276887785746868,0.7573171324993349,audio,False,False,none,0.0,0
16,RF,VA(mean),0.15322603720123362,0.35890226531500985,fusion,False,True,embedded,0.0,0
13,kNN,VA(mean),0.15400546346084215,0.4306102484458478,fusion,False,True,Pearson,0.1,0
2,RF,VA(mean),0.1544970512773936,0.2508061892507715,audio,False,True,backward,0.0,0
9,SVRpoly,VA(mean),0.15631761446227646,-0.03520291114438989,eda,False,True,RFE,0.0,0
9,RF,VA(mean),0.15747911046787322,-0.0050974030813131675,eda,False,True,RFE,0.0,0
