k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
17,SVRlinear,V(std),0.04908314446899319,-0.18059773580997507,fusion,False,True,RreliefF,0.0,10
14,SVRlinear,A(std),0.049085781139101885,-0.10020449430823734,fusion,False,True,backward,0.0,0
2,kNN,V(std),0.049089328427838766,-0.17334578984161875,audio,False,True,backward,0.0,0
9,SVRrbf,V(std),0.049124498035675854,-0.18243976162539294,eda,False,True,RFE,0.0,0
5,SVRlinear,A(std),0.049141036041925115,-0.11013948897341204,audio,False,True,RreliefF,0.0,10
4,kNN,V(std),0.049152974278918196,-0.18018210175982477,audio,False,True,embedded,0.0,0
17,SVRpoly,V(std),0.049231272759031205,-0.18796215054512108,fusion,False,True,RreliefF,0.0,10
15,SVRrbf,V(std),0.04925798084288443,-0.189420721913203,fusion,False,True,RFE,0.0,0
9,kNN,V(std),0.04927245990398141,-0.1877772319844742,eda,False,True,RFE,0.0,0
10,SVRrbf,V(std),0.049289325088635545,-0.19056606536622087,eda,False,True,embedded,0.0,0
0,kNN,V(std),0.049335852236088114,-0.18692818444252685,audio,False,False,none,0.0,0
16,SVRpoly,V(std),0.04938370428938569,-0.19379237343442068,fusion,False,True,embedded,0.0,0
8,SVRlinear,A(std),0.04938960096300658,-0.10718985157348623,eda,False,True,backward,0.0,0
17,SVRrbf,V(std),0.049449723307510414,-0.1988924886892393,fusion,False,True,RreliefF,0.0,10
1,SVRpoly,A(std),0.04945744009394722,-0.11516781371583065,audio,False,True,Pearson,0.1,0
13,SVRpoly,A(std),0.04945744009394722,-0.11516781371583065,fusion,False,True,Pearson,0.1,0
6,kNN,V(std),0.04948450648359067,-0.19859639899330578,eda,False,False,none,0.0,0
6,DT,V(std),0.04950983248532852,-0.1891823273905561,eda,False,False,none,0.0,0
9,SVRpoly,V(std),0.04959143894874552,-0.20502670495322892,eda,False,True,RFE,0.0,0
10,SVRpoly,A(std),0.049628083123372684,-0.11925759532795736,eda,False,True,embedded,0.0,0
0,SVRpoly,A(std),0.049651983722935646,-0.12346085520299462,audio,False,False,none,0.0,0
10,kNN,V(std),0.04967741274283543,-0.20574385519884753,eda,False,True,embedded,0.0,0
6,DT,A(std),0.04968749909070963,-0.11211318648373694,eda,False,False,none,0.0,0
10,SVRlinear,A(std),0.049740887165110194,-0.12526221797548348,eda,False,True,embedded,0.0,0
11,kNN,V(std),0.049768755532318146,-0.21192187747321242,eda,False,True,RreliefF,0.0,10
2,SVRpoly,V(std),0.04982206691683795,-0.21710490631057464,audio,False,True,backward,0.0,0
5,SVRpoly,V(std),0.049844797309685475,-0.22880447763120898,audio,False,True,RreliefF,0.0,10
3,kNN,V(std),0.04988569929421048,-0.21071738480773447,audio,False,True,RFE,0.0,0
10,SVRrbf,A(std),0.049885813660633806,-0.13081705259864473,eda,False,True,embedded,0.0,0
3,SVRrbf,A(std),0.049893455740752456,-0.13592842997699237,audio,False,True,RFE,0.0,0
2,SVRrbf,A(std),0.049926873801530075,-0.1375053052731565,audio,False,True,backward,0.0,0
6,SVRpoly,V(std),0.049930292674936025,-0.22522876509778506,eda,False,False,none,0.0,0
4,SVRrbf,A(std),0.049954182095277425,-0.13813221316243024,audio,False,True,embedded,0.0,0
5,SVRrbf,A(std),0.049968494750847296,-0.14480028363415212,audio,False,True,RreliefF,0.0,10
4,DT,V(std),0.04999928952769732,-0.24401001082268925,audio,False,True,embedded,0.0,0
17,kNN,V(std),0.05003652619381307,-0.23160813845385314,fusion,False,True,RreliefF,0.0,10
11,SVRpoly,A(std),0.050042131555867786,-0.13590006696506046,eda,False,True,RreliefF,0.0,10
